Year,Geography,Value
2010,,79.7986481170201
2011,,59.7652945517378
2012,,58.3199127227388
2013,,56.6017387841784
2014,,47.5207187130023
2015,,43.5096848800231
2010,Ashanti,65.4985983179816
2010,Brong Ahafo,84.7002312755737
2010,Central,87.290442756842
2010,Eastern,70.6833002551744
2010,Greater Accra,94.0514469453376
2010,Northern,77.1155410903173
2010,Upper east,88.7420718816068
2010,Upper west,80.1286173633441
2010,Volta,75.4766031195841
2010,Western,89.8093470558461
2011,Ashanti,65.3422464927973
2011,Brong Ahafo,42.3076923076923
2011,Central,63.4347759596269
2011,Eastern,61.505471753919
2011,Greater Accra,87.1556588118155
2011,Northern,49.2673267326733
2011,Upper east,60.2487562189055
2011,Upper west,53.5714285714286
2011,Volta,54.0377661711531
2011,Western,48.7950832928999
2012,Ashanti,64.1745414118955
2012,Brong Ahafo,45.5392809587217
2012,Central,68.7094873305834
2012,Eastern,53.766083562238
2012,Greater Accra,83.7610685877233
2012,Northern,40.6097101994731
2012,Upper east,61.4010343206394
2012,Upper west,48.6884197056942
2012,Volta,52.9221397296783
2012,Western,48.1962025316456
2013,Ashanti,64.1337922513459
2013,Brong Ahafo,47.7150961235424
2013,Central,64.6202341639147
2013,Eastern,49.7335203366059
2013,Greater Accra,79.8310166257836
2013,Northern,41.3824548604778
2013,Upper east,58.1881533101045
2013,Upper west,46.6786355475763
2013,Volta,50.4487658937921
2013,Western,45.4177291135443
2014,Ashanti,52.8245971476199
2014,Brong Ahafo,34.0996168582375
2014,Central,55.9616749467708
2014,Eastern,42.1129645888206
2014,Greater Accra,72.4665391969407
2014,Northern,36.470953712333
2014,Upper east,56.0872624912034
2014,Upper west,40.1402278702892
2014,Volta,49.4980357922305
2014,Western,38.3767228177642
2015,Ashanti,58.1053028873372
2015,Brong Ahafo,35.9070935342122
2015,Central,81.6122840690979
2015,Eastern,43.2037415960245
2015,Greater Accra,79.6791443850267
2015,Northern,15.7400355420157
2015,Upper east,18.0966469428008
2015,Upper west,7.54138565297364
2015,Volta,27.9177718832891
2015,Western,47.8288034989066
