Year,Value
1974,64.67360305
1975,55.3826544
1976,52.23683324
1977,52.21850225
1978,55.3541382
1979,52.72193608
1980,51.73489166
1981,48.7562632
1982,44.30736099
1983,41.15650216
1984,41.9442585
1985,43.11289959
1986,44.34315087
1987,45.42055815
1988,46.88340898
1989,48.1351079
1990,48.58463068
1991,49.96462489
1992,50.69204148
1993,25.56096666
1994,25.76696555
1995,26.15961591
1996,26.69996836
1997,27.14402699
1998,27.72413197
1999,28.24415189
2000,27.18942653
2001,27.61771091
2002,28.1683964
2003,28.93735895
2004,29.83547095
2005,30.83601534
2006,855.0492836
2007,889.4691689
2008,942.851772
2009,958.9166422
2010,977.3617486
2011,1089.191219
2012,1163.227279
2013,4678.792663
2014,4704.908421
2015,4698.347186
2016,4647.131065
2017,4921.013938
